"filename", "language", "JavaScript", "JavaScript JSX", "XML", "comment", "blank", "total"
"c:\Users\DigitalMix3\Desktop\apis\mixconnect-front-text\src\pages\Plans\Plans.jsx", "JavaScript JSX", 0, 220, 0, 8, 16, 244
"c:\Users\DigitalMix3\Desktop\apis\mixconnect-front-text\src\pages\PreBriefing\PreBriefing.jsx", "JavaScript JSX", 0, 434, 0, 1, 5, 440
"c:\Users\DigitalMix3\Desktop\apis\mixconnect-front-text\src\pages\PreBriefing\PreBriefingStyled.jsx", "JavaScript JSX", 0, 89, 0, 0, 5, 94
"c:\Users\DigitalMix3\Desktop\apis\mixconnect-front-text\src\pages\Profile\Profile.jsx", "JavaScript JSX", 0, 348, 0, 7, 19, 374
"c:\Users\DigitalMix3\Desktop\apis\mixconnect-front-text\src\pages\Profile\ProfileStyled.jsx", "JavaScript JSX", 0, 414, 0, 0, 9, 423
"c:\Users\DigitalMix3\Desktop\apis\mixconnect-front-text\src\pages\PropostaCreate\PropostaCreate.jsx", "JavaScript JSX", 0, 683, 0, 4, 11, 698
"c:\Users\DigitalMix3\Desktop\apis\mixconnect-front-text\src\pages\PropostaCreate\PropostaCreateStyled.jsx", "JavaScript JSX", 0, 107, 0, 0, 2, 109
"c:\Users\DigitalMix3\Desktop\apis\mixconnect-front-text\src\pages\Propostas\Propostas.jsx", "JavaScript JSX", 0, 142, 0, 1, 7, 150
"c:\Users\DigitalMix3\Desktop\apis\mixconnect-front-text\src\pages\Propostas\PropostasStyled.jsx", "JavaScript JSX", 0, 127, 0, 0, 2, 129
"c:\Users\DigitalMix3\Desktop\apis\mixconnect-front-text\src\pages\SendApproval\SendApproval.jsx", "JavaScript JSX", 0, 104, 0, 1, 6, 111
"c:\Users\DigitalMix3\Desktop\apis\mixconnect-front-text\src\pages\SendApproval\SendApprovalStyled.jsx", "JavaScript JSX", 0, 72, 0, 0, 5, 77
"c:\Users\DigitalMix3\Desktop\apis\mixconnect-front-text\src\pages\SendNps\SendNps.jsx", "JavaScript JSX", 0, 95, 0, 2, 12, 109
"c:\Users\DigitalMix3\Desktop\apis\mixconnect-front-text\src\pages\SendNps\SendNpsStyled.jsx", "JavaScript JSX", 0, 109, 0, 0, 2, 111
"c:\Users\DigitalMix3\Desktop\apis\mixconnect-front-text\src\pages\SendProposta\SendProposta.jsx", "JavaScript JSX", 0, 501, 0, 21, 13, 535
"c:\Users\DigitalMix3\Desktop\apis\mixconnect-front-text\src\pages\SendProposta\SendPropostaStyled.jsx", "JavaScript JSX", 0, 505, 0, 0, 10, 515
"c:\Users\DigitalMix3\Desktop\apis\mixconnect-front-text\src\schemas\searchSchema.js", "JavaScript", 9, 0, 0, 0, 2, 11
"c:\Users\DigitalMix3\Desktop\apis\mixconnect-front-text\src\schemas\signinSchema.js", "JavaScript", 7, 0, 0, 0, 2, 9
"c:\Users\DigitalMix3\Desktop\apis\mixconnect-front-text\src\services\approvalService.js", "JavaScript", 40, 0, 0, 0, 5, 45
"c:\Users\DigitalMix3\Desktop\apis\mixconnect-front-text\src\services\choreService.js", "JavaScript", 74, 0, 0, 1, 9, 84
"c:\Users\DigitalMix3\Desktop\apis\mixconnect-front-text\src\services\clientService.js", "JavaScript", 166, 0, 0, 0, 15, 181
